Depth,AC,CAL,CNC,CORR,DEN,GR,HAC,RD,RFOC,RILD,RILM,RMLL,RS,SP,result
1999.7385,76.6038,8.2778,14.9708,0.0404,2.3674,76.3827,261.6761,17.8781,13.4548,14.3698,11.9721,10.4397,14.0623,-43.4915,油层
1999.7698,76.4328,8.2722,14.9474,0.04,2.3664,77.3067,262.2557,17.5701,13.3138,14.3648,11.9391,10.6073,13.8457,-43.5555,油层
1999.8011,76.2853,8.2649,14.9301,0.04,2.3654,78.1961,262.5909,17.2615,13.1557,14.3598,11.9124,10.7753,13.6336,-43.6102,油层
1999.8324,76.1886,8.2537,14.9269,0.0406,2.365,79.0028,261.9229,16.9552,12.9645,14.3542,11.8989,10.9423,13.4326,-43.6452,油层
1999.8637,76.112,8.2407,14.9293,0.0416,2.365,79.7762,260.6569,16.6492,12.7588,14.3488,11.8909,11.1087,13.2362,-43.6716,油层
1999.895,76.0481,8.227,14.9338,0.0433,2.365,80.4881,259.6288,16.3535,12.554,14.3464,11.888,11.2753,13.0471,-43.6951,油层
1999.9263,76.044,8.213,14.9514,0.0466,2.3656,80.9055,258.7424,16.1103,12.3574,14.3569,11.9085,11.4375,12.8971,-43.703,油层
1999.9576,76.0691,8.1983,14.9755,0.0512,2.3673,81.18,257.9342,15.8915,12.163,14.374,11.9406,11.5981,12.7662,-43.703,油层
1999.9889,76.0941,8.1833,14.9995,0.0556,2.3686,81.4536,258.8016,15.6735,11.9696,14.391,11.972,11.7581,12.6356,-43.7036,油层
2000.0202,76.1503,8.1748,15.0275,0.0596,2.3703,81.2359,260.2493,15.5688,11.8524,14.4346,12.0323,11.8429,12.576,-43.6969,油层
2000.0515,76.2233,8.1698,15.0575,0.0636,2.3723,80.7499,261.9247,15.5268,11.7774,14.4933,12.1083,11.8865,12.5567,-43.6859,油层
2000.0828,76.2963,8.1641,15.0875,0.0676,2.3743,80.2639,263.4946,15.4841,11.7024,14.5516,12.1843,11.9305,12.5377,-43.6749,油层
2000.1141,76.3377,8.1659,15.1065,0.0697,2.377,79.3937,264.8092,15.5701,11.736,14.6346,12.2795,11.7868,12.6041,-43.669,油层
2000.1454,76.3532,8.1732,15.1169,0.0693,2.3793,78.2251,265.6619,15.7571,11.8554,14.7365,12.3891,11.4965,12.7376,-43.666,油层
2000.1767,76.3642,8.1819,15.1252,0.069,2.382,77.001,265.7986,15.9619,11.9893,14.8419,12.5015,11.1796,12.8832,-43.6637,油层
2000.208,76.3319,8.1935,15.1136,0.0664,2.3843,75.6291,264.8409,16.2715,12.2135,14.9686,12.624,10.7757,13.1082,-43.6722,油层
2000.2393,76.248,8.2078,15.0778,0.0611,2.387,74.0761,263.6145,16.7074,12.5465,15.1203,12.7586,10.2666,13.4277,-43.6927,油层
2000.2706,76.148,8.2229,15.0346,0.055,2.3893,72.4638,262.3872,17.1816,12.9123,15.28,12.8978,9.7245,13.7767,-43.7175,油层
2000.3019,76.0467,8.2379,14.9758,0.049,2.3913,70.9588,261.0381,17.7038,13.3245,15.4555,13.042,9.2235,14.1709,-43.7504,油层
2000.3332,75.9416,8.2523,14.8846,0.0437,2.394,69.6535,260.9847,18.3283,13.8349,15.6667,13.1989,8.7997,14.661,-43.8008,油层
2000.3645,75.8349,8.2663,14.7809,0.0387,2.3963,68.4315,262.7097,18.9883,14.3806,15.8907,13.3599,8.4084,15.1856,-43.8578,油层
2000.3958,75.7465,8.281,14.6749,0.0337,2.3983,67.333,264.8197,19.645,14.9292,16.1247,13.5256,8.0512,15.7133,-43.9182,油层
2000.4271,75.7427,8.296,14.5562,0.03,2.4003,66.7873,266.176,20.2885,15.4921,16.4047,13.7096,7.8482,16.2591,-43.9931,油层
2000.4584,75.7767,8.3117,14.4322,0.027,2.403,66.4913,267.695,20.9232,16.0581,16.7044,13.9012,7.7158,16.8101,-44.0734,油层
2000.4897,75.8108,8.3278,14.3077,0.024,2.4053,66.1941,267.6877,21.5606,16.627,17.0049,14.094,7.5826,17.3632,-44.1544,油层
2000.521,75.9053,8.3518,14.1951,0.0223,2.4087,66.1722,266.3764,22.0814,17.0985,17.3509,14.3169,7.5773,17.8322,-44.2341,油层
2000.5523,76.0293,8.3805,14.0881,0.0213,2.4127,66.2836,265.538,22.5457,17.5235,17.7199,14.5549,7.6343,18.2606,-44.3124,油层
2000.5836,76.1538,8.4096,13.9807,0.0203,2.416,66.395,264.3455,23.0122,17.9502,18.0904,14.7938,7.6922,18.6909,-44.3914,油层
2000.6149,76.1906,8.4454,13.8791,0.02,2.4204,66.2668,263.0826,23.4664,18.3043,18.4736,15.0622,7.8326,19.0902,-44.4521,油层
2000.6462,76.1632,8.4865,13.7818,0.02,2.4261,65.9623,262.1971,23.9145,18.6065,18.8692,15.3531,8.0351,19.4699,-44.4996,油层
2000.6775,76.1252,8.5292,13.6858,0.02,2.4314,65.6303,261.0072,24.3601,18.8991,19.2652,15.6468,8.2471,19.8442,-44.5446,油层
2000.7088,75.9701,8.5717,13.5702,0.0193,2.4378,65.0469,259.7824,24.9097,19.2227,19.6401,15.9515,8.5734,20.2812,-44.5638,油层
2000.7401,75.6832,8.6137,13.4339,0.0176,2.4455,64.1827,258.7295,25.5738,19.5778,19.9867,16.2671,9.028,20.7848,-44.553,油层
2000.7714,75.3602,8.6557,13.2919,0.0156,2.4535,63.2411,257.9763,26.2705,19.9418,20.3264,16.5861,9.5186,21.3075,-44.5347,油层
2000.8027,74.9864,8.6951,13.1281,0.0136,2.4615,62.2417,257.1669,27.0933,20.3987,20.6093,16.8932,10.1965,21.9047,-44.4933,油层
2000.834,74.5158,8.7269,12.9248,0.0109,2.4709,61.1413,256.1936,28.1549,21.0332,20.7756,17.174,11.2356,22.6407,-44.4082,油层
2000.8653,74.0088,8.7561,12.7063,0.0079,2.4802,59.9999,255.5271,29.3054,21.7329,20.9028,17.4471,12.4062,23.4294,-44.3072,油层
2000.8966,73.5052,8.783,12.4758,0.0049,2.4899,58.8933,254.6706,30.562,22.4956,20.9752,17.6942,13.8059,24.2666,-44.1944,油层
2000.9279,73.0084,8.7993,12.1935,0.0026,2.4992,57.922,253.9203,32.3105,23.5517,20.8075,17.8278,16.2426,25.3326,-44.0287,油层
2000.9592,72.5118,8.8113,11.8893,-1.0E-4,2.509,57.0014,253.1083,34.2641,24.7303,20.5424,17.9169,19.1074,26.4959,-43.8403,油层
2000.9905,72.0175,8.8233,11.5856,-0.0024,2.519,56.0844,252.046,36.2101,25.9043,20.2784,18.0059,21.9607,27.6549,-43.653,油层
2001.0218,71.5733,8.8291,11.2336,-0.0037,2.5276,55.3533,251.0795,39.1824,27.5716,19.7253,17.8393,27.377,29.2337,-43.4093,油层
2001.0531,71.154,8.8321,10.8619,-0.0047,2.5356,54.708,250.1047,42.5861,29.4446,19.0493,17.5623,33.8793,30.9867,-43.1416,油层
2001.0844,70.735,8.8351,10.4899,-0.0057,2.5436,54.063,249.0917,45.9894,31.3183,18.3733,17.2853,40.382,32.7404,-42.8743,油层
2001.1157,70.2715,8.8409,10.1094,-0.0053,2.5502,53.67,247.9861,49.7313,33.4626,17.6019,16.7914,50.4289,34.4647,-42.569,油层
2001.147,69.781,8.8493,9.7246,-0.005,2.5548,53.4503,246.4914,53.6781,35.7774,16.77,16.1525,62.8162,36.1583,-42.2392,油层
2001.1783,69.284,8.8584,9.3378,-0.0043,2.5588,53.2558,243.855,57.6747,38.1296,15.9247,15.4887,75.625,37.8542,-41.9039,油层
2001.2096,68.7063,8.873,8.991,-0.0026,2.5607,53.4747,241.6223,59.2666,39.3399,15.1286,14.7654,80.046,38.1949,-41.5472,油层
2001.2409,68.0399,8.8936,8.6854,-6.0E-4,2.5596,54.1384,239.0078,58.2757,39.3265,14.3827,13.9754,75.4519,37.0775,-41.1657,油层
2001.2722,67.3482,8.9164,8.3893,0.0014,2.5583,54.9191,236.0855,56.6175,38.9992,13.6462,13.1653,68.5262,35.5817,-40.7762,油层
2001.3035,66.6712,8.9422,8.1405,0.0041,2.5544,56.1791,233.264,53.5565,37.4568,12.9676,12.3867,59.8776,33.3886,-40.3775,油层
2001.3348,66.0145,8.9729,7.9782,0.0071,2.5473,58.3678,230.7398,47.7816,33.5769,12.3927,11.661,47.8404,29.8405,-39.9565,油层
2001.3661,65.3682,9.0049,7.8449,0.0101,2.5393,60.8408,228.5157,41.1726,28.9721,11.853,10.9553,34.7864,25.8795,-39.5305,油层
2001.3974,64.7844,9.0363,7.7366,0.0139,2.5305,63.616,226.1741,34.7987,24.4965,11.3339,10.2724,23.0384,22.0683,-39.1007,油层
2001.4287,64.4886,9.0637,7.7392,0.0207,2.5187,67.6683,224.1331,29.5985,20.6816,10.915,9.7067,17.304,18.9993,-38.6602,油层
2001.46,64.2946,9.089,7.7819,0.028,2.5057,72.1786,222.5978,24.8067,17.0956,10.531,9.1817,13.695,16.1886,-38.2144,油层
2001.4913,64.1005,9.1141,7.8244,0.0358,2.4933,76.7062,221.4747,19.9968,13.4948,10.1462,8.6546,10.0719,13.3673,-37.7674,油层
2001.5226,64.3252,9.1232,8.0326,0.0539,2.4792,82.2821,220.553,16.9069,11.3401,9.8174,8.2597,8.2717,11.5221,-37.3246,油层
2001.5539,64.711,9.1255,8.3049,0.0767,2.4641,88.2905,219.7555,14.4604,9.7289,9.5082,7.9133,7.1621,10.042,-36.8809,油层
2001.5852,65.0957,9.1275,8.5766,0.099,2.4491,94.2755,219.0881,12.0241,8.1239,9.2002,7.5683,6.0571,8.5673,-36.4389,油层
2001.6165,65.7299,9.1149,8.9903,0.1217,2.4326,100.1856,218.3628,10.3423,7.0681,8.9227,7.2974,5.3852,7.5275,-36.0136,油层
2001.6478,66.5229,9.0939,9.4942,0.1448,2.4163,106.0716,217.0454,9.1287,6.3539,8.6637,7.0718,4.9838,6.7577,-35.598,油层
2001.6791,67.3359,9.0719,10.0099,0.1685,2.3996,111.9269,215.3416,7.9907,5.6939,8.408,6.8538,4.6248,6.0317,-35.1853,油层
2001.7104,68.2615,9.0462,10.6454,0.1875,2.3825,116.9103,213.3769,7.1222,5.2149,8.1701,6.6709,4.3943,5.4673,-34.7935,油层
2001.7417,69.2969,9.0162,11.3993,0.2015,2.3648,120.9495,213.9538,6.5393,4.9268,7.9526,6.5261,4.299,5.0762,-34.4262,油层
2001.773,70.3589,8.986,12.1813,0.2145,2.3475,124.7725,218.1677,6.0231,4.6828,7.7388,6.3901,4.235,4.7245,-34.0642,油层
2015.6076,69.3112,8.8471,15.4902,-0.0104,2.4162,84.6662,241.4253,14.7888,12.5747,15.2405,12.8242,15.7486,11.8857,-35.1285,油层
2015.6389,69.0332,8.8451,15.5002,-0.0119,2.4122,84.538,244.5737,14.9922,12.782,15.7818,13.0898,16.0595,12.0906,-35.0557,油层
2015.6702,68.7552,8.8431,15.5052,-0.0134,2.4082,84.3825,247.3012,15.1992,12.984,16.3334,13.3588,16.3529,12.2986,-34.9787,油层
2015.7015,68.5511,8.8411,15.5125,-0.014,2.4042,84.1958,249.4003,15.4294,13.1715,16.9202,13.6446,16.6431,12.5272,-34.896,油层
2015.7328,68.49,8.8391,15.5243,-0.014,2.4007,83.9526,251.4176,15.7008,13.3296,17.5687,13.9598,16.9234,12.7927,-34.8034,油层
2015.7641,68.4904,8.8371,15.5388,-0.014,2.3976,83.6836,253.811,15.991,13.4757,18.2469,14.2896,17.2011,13.0753,-34.7065,油层
2015.7954,68.5499,8.8355,15.5565,-0.014,2.3942,83.3512,255.4798,16.3013,13.6375,18.9418,14.6308,17.5541,13.374,-34.6119,油层
2015.8267,68.7683,8.835,15.5825,-0.0135,2.3902,82.8456,256.9293,16.6694,13.8439,19.6907,15.0063,18.1147,13.7207,-34.5225,油层
2015.858,69.0945,8.835,15.6151,-0.013,2.3862,82.2217,258.1645,17.0785,14.0809,20.4788,15.4059,18.8165,14.1008,-34.4367,油层
2015.8893,69.4401,8.835,15.6458,-0.0125,2.3822,81.549,259.0499,17.5079,14.3466,21.2679,15.8085,19.5868,14.4943,-34.3544,油层
2015.9206,69.8936,8.8364,15.6679,-0.012,2.3777,80.6094,259.4725,18.0523,14.7686,22.082,16.237,20.7309,14.9688,-34.2903,油层
2015.9519,70.4416,8.8394,15.6829,-0.0115,2.3732,79.4344,258.5872,18.6973,15.33,22.9126,16.686,22.2059,15.5127,-34.2429,油层
2015.9832,70.9901,8.8424,15.6979,-0.0105,2.3692,78.2589,257.4568,19.3423,15.892,23.7426,17.135,23.6809,16.0572,-34.1949,油层
2016.0145,71.6542,8.8454,15.6907,-0.0095,2.3651,76.8836,256.6635,20.1892,16.7077,24.5354,17.5922,25.7427,16.7447,-34.1699,油层
2016.0458,72.4462,8.8489,15.6577,-0.0085,2.3611,75.2881,255.7508,21.2632,17.8112,25.2784,18.0548,28.4677,17.5922,-34.1715,油层
2016.0771,73.2417,8.8524,15.6245,-0.0075,2.3576,73.6863,255.2423,22.3419,18.919,26.0243,18.519,31.2033,18.4435,-34.1729,油层
2016.1084,74.09,8.8545,15.5747,-0.0065,2.3546,72.179,254.7949,23.6353,20.2723,26.7101,18.9713,34.2705,19.4551,-34.189,油层
2016.1397,75.0156,8.8555,15.5014,-0.0055,2.3525,70.793,254.7116,25.2317,21.9722,27.3166,19.4084,37.8113,20.6933,-34.2252,油层
2016.171,75.9612,8.856,15.4231,-0.0045,2.3511,69.4262,255.7431,26.8967,23.7501,27.9089,19.8437,41.4631,21.9834,-34.2664,油层
2016.2023,76.9392,8.8555,15.3395,-0.004,2.3495,68.2193,257.2823,28.6988,25.6118,28.4644,20.2611,44.8023,23.3851,-34.3116,油层
2016.2336,77.9854,8.854,15.2463,-0.0035,2.3495,67.2847,259.0287,30.7667,27.644,28.96,20.6521,47.6204,25.0027,-34.3652,油层
2016.2649,79.0544,8.852,15.1503,-0.003,2.35,66.4677,260.5882,32.9332,29.736,29.428,21.0297,50.2064,26.7012,-34.4222,油层
2016.2962,80.0748,8.85,15.0553,-0.0025,2.3505,65.7517,261.4057,35.0736,31.6853,29.894,21.3995,52.4878,28.3914,-34.4779,油层
2016.3275,80.954,8.848,14.9642,-0.0025,2.352,65.3079,262.1141,37.1177,33.237,30.3478,21.746,53.947,30.0368,-34.53,油层
2016.3588,81.7475,8.8465,14.8757,-0.003,2.3535,65.0329,262.5541,39.1062,34.5445,30.7943,22.079,54.8955,31.6578,-34.5805,油层
2016.3901,82.4608,8.845,14.7893,-0.003,2.355,64.8018,262.9395,41.0012,35.7185,31.2464,22.4109,55.8419,33.213,-34.6293,油层
2016.4214,82.7481,8.8445,14.714,-0.0035,2.357,64.7976,263.3761,42.3772,36.184,31.7179,22.7311,56.7575,34.3949,-34.668,油层
2016.4527,82.6798,8.8455,14.6473,-0.0045,2.3585,64.9838,263.8255,43.3264,36.057,32.2088,23.0443,57.6535,35.2718,-34.6986,油层
2016.484,82.6118,8.846,14.5808,-0.0055,2.36,65.1693,264.3256,44.2719,35.9305,32.6973,23.3563,58.5455,36.1453,-34.7291,油层
2016.5153,82.1712,8.847,14.5319,-0.0065,2.3615,65.4403,264.8375,44.6925,35.4764,33.2092,23.6654,58.9859,36.6052,-34.7504,油层
2016.5466,81.337,8.8485,14.5012,-0.0075,2.362,65.8022,264.9045,44.562,34.6752,33.7483,23.9721,58.9528,36.6323,-34.7614,油层
2016.5779,80.506,8.85,14.4707,-0.0085,2.3625,66.1622,264.7775,44.432,33.8772,34.2853,24.2771,58.9202,36.6588,-34.7729,油层
2016.6092,79.5691,8.8515,14.451,-0.009,2.363,66.4685,264.399,44.1021,33.2001,34.8294,24.5783,58.5314,36.4994,-34.7785,油层
2016.6405,78.5048,8.8525,14.445,-0.0095,2.363,66.7041,263.8915,43.521,32.6834,35.3774,24.8724,57.6911,36.1042,-34.7765,油层
2016.6718,77.4138,8.8535,14.4415,-0.01,2.363,66.9256,263.449,42.8895,32.1984,35.9268,25.1654,56.7601,35.6617,-34.773,油层
2016.7031,76.361,8.8545,14.437,-0.01,2.3635,66.9345,262.6875,42.263,31.8635,36.465,25.454,55.761,35.202,-34.7665,油层
2016.7344,75.3835,8.855,14.4305,-0.01,2.364,66.5865,261.8645,41.6525,31.784,36.978,25.7325,54.6575,34.7175,-34.7555,油层
2016.7657,74.4303,8.855,14.423,-0.01,2.364,66.0936,261.229,41.0446,31.8061,37.484,26.0081,53.506,34.2201,-34.7419,油层
2016.797,73.5196,8.855,14.4084,-0.01,2.364,65.4821,260.851,40.5298,31.8719,37.9713,26.279,52.2013,33.7891,-34.7264,油层
2016.8283,72.705,8.855,14.3773,-0.01,2.3645,64.5702,261.043,40.2414,32.0459,38.4171,26.543,50.5055,33.5183,-34.7069,油层
2016.8596,71.9446,8.8545,14.3357,-0.0095,2.3655,63.475,261.6149,40.0863,32.2849,38.8398,26.8035,48.5699,33.3416,-34.6848,油层
2016.8909,71.215,8.854,14.2896,-0.0085,2.3665,62.3997,262.3114,39.9963,32.5056,39.2435,27.06,46.6628,33.2184,-34.6623,油层
2016.9222,70.6218,8.8535,14.2236,-0.007,2.3675,61.399,263.3973,40.2327,32.6418,39.5604,27.3058,44.8538,33.3595,-34.6356,油层
2016.9535,70.1383,8.8525,14.142,-0.005,2.369,60.4635,264.077,40.7202,32.7113,39.8069,27.5413,43.1333,33.7045,-34.6062,油层
2016.9848,69.653,8.8515,14.0597,-0.003,2.3705,59.5244,264.4029,41.2091,32.7811,40.0544,27.7772,41.4061,34.0509,-34.577,油层
2017.0161,69.3628,8.85,13.9741,-5.0E-4,2.3715,58.8967,265.1659,41.8884,32.7975,40.1523,27.9745,40.4869,34.5753,-34.546,油层
2017.0474,69.2538,8.8485,13.8856,0.0025,2.3725,58.5592,265.7255,42.7479,32.7635,40.1098,28.1365,40.3194,35.2683,-34.5125,油层
2017.0787,69.1444,8.8475,13.7968,0.0056,2.3735,58.2204,266.1763,43.6108,32.7288,40.0672,28.2992,40.1512,35.964,-34.4789,油层
2017.11,69.2281,8.8465,13.7285,0.0075,2.374,57.9842,266.6115,44.4937,32.8476,39.8714,28.3926,40.817,36.6602,-34.4459,油层
2017.1413,69.5398,8.846,13.6851,0.0085,2.374,57.8668,266.8654,45.4075,33.1483,39.4933,28.4044,42.4686,37.3635,-34.4122,油层
2017.1726,69.8948,8.8455,13.6471,0.0095,2.374,57.7728,266.9195,46.3235,33.4828,39.0813,28.3999,44.3056,38.0649,-34.3787,油层
2017.2039,70.3556,8.8455,13.6395,0.01,2.3745,57.5453,266.7266,47.3415,33.9644,38.5537,28.3006,46.3723,38.7706,-34.3457,油层
2017.2352,70.9854,8.8471,13.6801,0.0095,2.375,57.1048,266.6055,48.5254,34.6809,37.8401,28.0496,48.8123,39.4861,-34.3137,油层
2017.2665,71.6769,8.8491,13.7396,0.0085,2.375,56.5848,266.605,49.7664,35.4829,37.0597,27.7421,51.3823,40.2005,-34.2821,油层
2017.2978,72.3541,8.8511,13.8185,0.008,2.375,56.0001,266.6719,51.2296,36.3284,36.2038,27.3494,53.558,41.0044,-34.2505,油层
2017.3291,72.9881,8.8547,13.9427,0.0085,2.3761,55.2664,266.731,53.2063,37.2675,35.1785,26.7586,54.7603,42.0121,-34.2195,油层
2017.3604,73.5996,8.8591,14.0927,0.0095,2.3775,54.449,266.731,55.4708,38.26,34.0575,26.0571,55.4279,43.1341,-34.1885,油层
2017.3917,74.1916,8.8637,14.2459,0.0116,2.3796,53.6748,266.731,57.818,39.1692,32.8952,25.3175,56.0466,44.2888,-34.1569,油层
2017.423,74.6759,8.8681,14.4143,0.0173,2.3831,53.13,266.663,60.5164,39.6508,31.5553,24.4119,56.4126,45.5751,-34.1227,油层
2017.4543,75.0865,8.8722,14.595,0.0253,2.3877,52.745,266.4671,63.4829,39.8305,30.0801,23.3814,56.6013,46.9635,-34.0866,油层
2017.4856,75.4949,8.8762,14.7745,0.0333,2.3922,52.3615,266.2136,66.4374,40.0095,28.6111,22.3549,56.7893,48.3465,-34.0506,油层
2017.5169,75.8393,8.8802,14.9309,0.0472,2.3983,52.4648,265.8922,67.8276,39.2284,27.0305,21.2578,54.4216,48.715,-34.0087,油层
2017.5482,76.1305,8.8842,15.0684,0.0658,2.4063,52.9858,265.3044,67.8808,37.6202,25.348,20.0952,49.8503,48.2141,-33.9615,油层
2017.5795,76.4199,8.8882,15.2054,0.0843,2.4143,53.5048,264.8196,67.9338,36.0182,23.672,18.9367,45.2963,47.7151,-33.9145,油层
2017.6108,76.6395,8.8938,15.3041,0.1018,2.4224,54.3457,264.6346,65.8996,33.8094,22.0294,17.806,39.6718,45.9191,-33.8602,油层
2017.6421,76.7814,8.9014,15.3608,0.1172,2.4304,55.5301,264.6459,61.6138,30.9596,20.4362,16.7146,32.9303,42.7284,-33.7991,油层
2017.6734,76.909,8.9094,15.4094,0.1323,2.4384,56.7855,264.7724,56.8769,27.9734,18.845,15.626,25.9436,39.2553,-33.7363,油层
2017.7047,76.9484,8.9191,15.4376,0.1451,2.4459,58.394,264.899,51.8483,25.0502,17.374,14.6058,20.2063,35.6929,-33.6672,油层
2017.736,76.8585,8.9312,15.4364,0.155,2.4518,60.533,265.0954,46.3613,22.2039,16.0715,13.6803,16.2809,31.978,-33.5888,油层
2017.7673,76.721,8.9442,15.4238,0.164,2.4573,62.8756,265.3488,40.6837,19.3743,14.8256,12.7863,13.0072,28.1923,-33.5071,油层
2017.7986,76.5435,8.9578,15.4163,0.1724,2.4628,65.6329,265.5315,35.371,16.785,13.6673,11.9424,10.2038,24.6648,-33.4205,油层
2017.8299,76.2701,8.9735,15.4211,0.1794,2.4672,69.3827,265.941,30.8333,14.7164,12.695,11.202,8.4498,21.6873,-33.3225,油层
2017.8612,75.9487,8.9905,15.4327,0.1859,2.4712,73.6261,266.9976,26.7253,12.9304,11.825,10.52,7.2524,19.0133,-33.22,油层
2017.8925,75.6327,9.0086,15.457,0.1929,2.4752,78.0266,268.036,22.8055,11.2365,10.9857,9.857,6.138,16.4566,-33.1147,油层
2017.9238,75.3398,9.0322,15.5446,0.2022,2.4781,83.2033,268.7271,19.7798,9.9799,10.2908,9.2852,5.4208,14.4583,-32.9967,油层
2017.9551,75.0638,9.0592,15.6736,0.2126,2.4801,88.8558,269.1458,17.3598,9.0179,9.6947,8.7767,4.9693,12.8387,-32.8711,油层
2017.9864,74.7867,9.0863,15.8031,0.2227,2.4821,94.5309,267.6072,14.9303,8.0521,9.0959,8.2663,4.516,11.213,-32.7452,油层
2022.431,71.5434,8.9902,11.845,0.0186,2.6082,97.2048,261.3417,9.7563,9.6496,7.588,8.3085,11.6132,7.545,-30.8587,干层
2022.4623,70.9241,8.9892,11.5932,0.0206,2.6022,95.3218,258.199,10.3103,10.0484,7.7612,8.5002,11.893,7.941,-30.9815,干层
2022.4936,70.3027,8.9882,11.341,0.0226,2.5962,93.4315,256.0575,10.8665,10.449,7.9357,8.693,12.1733,8.3386,-31.1042,干层
2022.5249,69.8216,8.988,11.1729,0.0214,2.5886,92.1589,253.8559,11.4707,10.7778,8.12,8.8683,12.2356,8.7322,-31.2278,干层
2022.5562,69.3756,8.9888,11.0259,0.0186,2.5806,91.0411,250.9721,12.0869,11.0896,8.3062,9.0393,12.2434,9.126,-31.3518,干层
2022.5875,68.9278,8.989,10.8783,0.0164,2.5726,89.9195,249.4429,12.7061,11.4028,8.4929,9.2117,12.2506,9.5207,-31.4763,干层
2022.6188,68.5659,9.001,10.7889,0.0136,2.5614,89.1485,248.4048,13.3679,11.6196,8.6669,9.3469,12.4354,9.9105,-31.5947,干层
2022.6501,68.2453,9.0193,10.7281,0.0114,2.5477,88.5477,246.6757,14.0548,11.79,8.8346,9.4645,12.7103,10.3002,-31.7105,干层
2022.6814,67.9321,9.0383,10.6719,0.0094,2.5337,87.9707,245.1841,14.741,11.954,9.0006,9.5795,12.9953,10.6882,-31.8263,干层
2022.7127,67.6988,9.0774,10.6417,0.0106,2.5165,87.4412,243.6897,15.3691,12.0713,9.1304,9.6455,13.3584,11.0183,-31.9343,干层
2022.744,67.5381,9.1361,10.6346,0.015,2.4968,86.9519,241.7556,15.9467,12.1462,9.2268,9.6657,13.7952,11.2967,-32.0367,干层
2022.7753,67.3911,9.1981,10.6316,0.0192,2.476,86.4719,240.8562,16.5127,12.2132,9.3176,9.6777,14.2432,11.5639,-32.1377,干层
2022.8066,67.3484,9.2734,10.6375,0.0289,2.4574,86.0282,239.1921,16.9363,12.2374,9.3797,9.6499,14.3193,11.7336,-32.2309,干层
2022.8379,67.488,9.3725,10.6593,0.0481,2.441,85.6521,237.8074,17.1073,12.1872,9.3916,9.5528,13.7483,11.7301,-32.3114,干层
2022.8692,67.6639,9.4769,10.6836,0.0683,2.4258,85.2876,235.9168,17.2288,12.1211,9.3928,9.4406,13.0455,11.692,-32.3889,干层
2022.9005,67.8968,9.5809,10.7198,0.0908,2.4116,85.1312,234.6151,17.2632,12.0021,9.384,9.3147,12.2451,11.6066,-32.461,干层
2022.9318,68.3706,9.6898,10.8062,0.1211,2.4049,85.8523,233.3724,16.9321,11.6539,9.3289,9.1269,11.0212,11.318,-32.5091,干层
2022.9631,68.8968,9.7994,10.9028,0.1541,2.3991,86.763,231.9973,16.5223,11.2553,9.2645,8.9259,9.7021,10.9855,-32.5523,干层
2022.9944,69.4217,9.9084,10.9996,0.1871,2.3931,87.67,230.6051,16.1135,10.8583,9.2005,8.7251,8.3881,10.6537,-32.5953,干层
2023.0257,70.0954,9.9849,11.1794,0.2186,2.3936,90.5224,229.6247,15.4062,10.2504,9.0851,8.4994,7.4605,10.1984,-32.6014,干层
2023.057,70.7992,10.0539,11.3764,0.2504,2.3965,93.7846,240.0042,14.638,9.6003,8.9583,8.2703,6.6223,9.7184,-32.5993,干层
2023.0883,71.5024,10.1229,11.5734,0.2816,2.3986,97.0466,247.6752,13.87,8.9503,8.8321,8.0404,5.7835,9.2384,-32.5965,干层
2023.1196,72.2173,10.1565,11.9103,0.3069,2.4015,101.412,253.024,13.0427,8.3515,8.6601,7.8186,5.2269,8.7399,-32.5612,干层
2023.1509,72.9329,10.1734,12.3109,0.3292,2.4037,106.2634,257.3523,12.1926,7.7806,8.4683,7.603,4.8033,8.2358,-32.5109,干层
2023.1822,73.6526,10.1885,12.7205,0.3513,2.4065,111.1906,261.1235,11.3371,7.2104,8.2736,7.3863,4.3935,7.7297,-32.4587,干层
2027.6268,75.6091,8.8355,13.9517,0.0792,2.404,72.1747,243.0438,24.5239,23.9679,13.8962,13.1897,43.655,18.1528,-32.9718,差油层
2027.6581,75.781,8.8275,13.7768,0.0662,2.4041,70.8897,233.7298,26.6039,25.5698,14.2571,13.3727,37.9551,19.6689,-33.1558,差油层
2027.6894,75.9485,8.8195,13.6023,0.0532,2.4052,69.6578,227.1626,28.5985,27.0612,14.6198,13.5533,32.3204,21.1301,-33.3413,差油层
2027.7207,76.0496,8.8115,13.4314,0.0403,2.4083,69.3405,219.1574,29.1036,26.7319,15.0017,13.7009,28.0653,21.619,-33.5211,差油层
2027.752,76.1076,8.8035,13.2614,0.0293,2.4123,69.6044,209.0087,28.6645,25.2419,15.3967,13.8279,24.6772,21.491,-33.6981,差油层
2027.7833,76.1603,8.7957,13.091,0.0183,2.4174,69.893,202.3418,28.1865,23.736,15.7942,13.9523,21.3284,21.3359,-33.876,差油层
2027.8146,76.126,8.7909,12.9254,0.0086,2.4235,70.563,197.3098,27.1461,22.0623,16.2058,14.0441,18.8244,20.768,-34.0408,差油层
2027.8459,75.9744,8.7899,12.7658,0.0025,2.4316,71.7566,201.9588,25.333,20.1469,16.6404,14.0914,17.4401,19.6347,-34.1895,差油层
2027.8772,75.8203,8.7891,12.6067,-0.0044,2.4396,72.9437,210.9972,23.5346,18.2515,17.0721,14.1385,16.0728,18.5106,-34.3378,差油层
