Depth,AC,CALI,DFL,DRHO,DT,GR,HAC,HRID,HRIM,LLD,LLS,MSFL,NPHI,PD60,PE,RHOB,SP,result
1866.50625,258.3615,8.6063,10.0058,0.0499,74.753,103.0879,260.3127,7.0304,7.3245,7.0966,7.4505,7.8219,0.1723,99.1635,3.0338,2.3985,-6.667,油层
1866.5375,259.2439,8.5746,14.5599,0.0615,72.1469,91.0006,260.438,8.1496,8.5655,9.4899,9.8965,19.0256,0.1434,99.2618,2.9942,2.5346,-6.9002,油层
1866.56875,260.0008,8.5697,15.7082,0.073,71.4205,82.6675,260.8138,8.416,8.883,12.4298,13.1236,31.2226,0.15,99.5113,2.9804,2.6029,-6.9854,油层
1866.6,260.2521,8.5839,12.7573,0.1097,72.7939,81.5532,260.8125,7.695,8.1219,12.4248,12.97,28.1176,0.2046,99.7618,3.0026,2.6056,-6.7476,油层
1866.63125,260.8823,8.6046,8.9471,0.1931,75.5172,87.8939,261.0612,6.5899,6.9491,10.1833,10.2149,19.833,0.2547,100.4148,3.1691,2.6206,-6.3089,油层
1866.6625,260.6258,8.627,6.1623,0.2733,78.9319,99.1339,261.0599,5.6042,5.9103,8.0235,8.042,11.9935,0.2423,100.6657,3.5519,2.6273,-5.8375,油层
1866.69375,259.8633,8.6528,4.9979,0.3131,82.0453,111.2148,260.9279,4.9016,5.169,6.327,6.3698,6.2944,0.2355,101.1178,4.0737,2.5922,-5.3657,油层
1866.725,258.9736,8.6794,4.3502,0.3254,84.2544,120.6401,260.9279,4.4605,4.6999,5.2832,5.3704,4.5817,0.2401,101.621,4.5743,2.5258,-4.976,油层
1866.75625,258.0844,8.7106,4.1133,0.3427,85.3906,125.8176,260.5445,4.2271,4.4402,4.6096,4.6556,3.8277,0.2345,102.3761,4.9026,2.4991,-4.7762,油层
1866.7875,257.1948,8.7329,4.2368,0.3442,85.4047,126.0723,260.289,4.1471,4.3399,4.2618,4.3468,3.3667,0.2319,103.2327,4.9497,2.5312,-4.7525,油层
1866.81875,256.4323,8.7302,4.4895,0.3084,84.6761,123.0653,259.7772,4.1756,4.3545,4.3191,4.3566,3.1613,0.238,104.0387,4.5107,2.5677,-4.8096,油层
1866.85,255.5422,8.7061,4.8454,0.2775,84.2453,120.348,259.7772,4.2591,4.4351,4.6721,4.6593,3.6003,0.2289,105.1977,4.0293,2.5731,-4.9144,油层
1866.88125,255.1609,8.6745,5.2997,0.2939,84.4964,119.2261,259.3947,4.3286,4.5063,4.994,5.1226,4.7321,0.2207,105.8525,3.9622,2.5751,-4.9618,油层
1866.9125,254.7782,8.6472,5.5141,0.3299,84.9365,118.9901,258.8833,4.3202,4.499,5.1488,5.27,5.8147,0.2225,106.9619,4.2988,2.5935,-4.8571,油层
1866.94375,254.5216,8.6363,5.1255,0.3457,85.4047,119.6915,258.5025,4.2214,4.3991,5.1518,5.2678,7.2563,0.2172,107.7683,4.5212,2.5986,-4.7474,油层
1866.975,254.5193,8.6319,4.8141,0.3428,86.118,121.4956,258.2462,4.0845,4.2599,4.9986,5.1581,7.6912,0.213,108.9783,4.6508,2.587,-4.5854,油层
1867.00625,254.515,8.627,4.5598,0.3107,86.7688,123.9197,257.7375,3.9788,4.1533,4.8282,4.8736,6.8289,0.2145,109.8855,4.4669,2.5598,-4.3567,油层
1867.0375,254.7654,8.6232,4.485,0.2636,86.948,126.1471,257.4811,3.9429,4.1189,4.7032,4.6586,6.3223,0.2297,111.2476,4.0237,2.5458,-4.1857,油层
1867.06875,255.0167,8.6221,4.7142,0.1997,86.7743,126.8366,257.2256,3.9735,4.1527,4.6317,4.7005,5.7713,0.243,112.3063,3.539,2.5258,-4.1619,油层
1867.1,255.0114,8.6205,4.8395,0.1209,86.1734,124.9269,257.3495,4.0342,4.2155,4.6916,4.9404,5.7475,0.243,113.5168,3.1666,2.4695,-4.1667,油层
1867.13125,255.2633,8.6227,4.8186,0.0796,85.1711,121.9685,257.3446,4.0804,4.2621,4.7772,5.002,6.7371,0.2392,114.7272,3.0114,2.4139,-4.1811,油层
1867.1625,255.2614,8.6243,4.8001,0.1563,84.5234,120.1879,257.2167,4.0893,4.269,4.8436,4.9996,7.6207,0.2375,115.5342,3.3792,2.4599,-4.2383,油层
1867.19375,255.3832,8.621,4.6678,0.249,84.6451,120.2315,256.8341,4.0691,4.2487,4.9403,5.093,7.775,0.2367,116.8958,4.0236,2.5531,-4.319,油层
1867.225,255.3813,8.6134,4.6268,0.2541,85.182,121.6862,255.6919,4.04,4.2247,4.9644,5.048,7.7394,0.2456,118.2073,4.1728,2.5961,-4.3571,油层
1867.25625,255.3785,8.6014,4.6023,0.2367,85.8344,123.0951,254.1702,4.0134,4.2087,4.8567,4.8488,7.7558,0.2484,120.0239,3.9719,2.6069,-4.3286,油层
1867.2875,255.3756,8.5894,4.4896,0.2572,86.3282,123.3386,251.8885,3.9949,4.2051,4.713,4.6993,7.7145,0.2436,121.3363,3.9538,2.6153,-4.3237,油层
1867.31875,255.2457,8.585,4.3218,0.2569,86.4094,123.6347,248.3405,4.0001,4.2272,4.5407,4.5592,7.9306,0.2375,122.9006,4.0191,2.5678,-4.2237,油层
1867.35,254.9896,8.5883,4.2664,0.2661,85.924,125.9121,249.8572,4.0651,4.3091,4.3893,4.3911,8.1114,0.2285,124.6666,4.2493,2.5228,-4.1667,油层
1867.38125,254.8596,8.5937,4.5393,0.2895,84.8592,129.2382,251.5001,4.234,4.4925,4.4687,4.4319,7.6356,0.2273,126.3821,4.5394,2.5323,-4.181,油层
1868.4125,256.9166,8.6128,4.8872,0.2793,84.7719,115.7754,260.145,4.1771,4.4522,5.1441,5.2989,8.5872,0.2275,120.7766,4.0881,2.5074,-2.9709,油层
1868.44375,256.9138,8.6238,4.5094,0.2772,85.9964,119.9492,260.0165,3.9929,4.2659,5.18,5.1956,7.4017,0.2367,118.7518,3.96,2.4732,-2.7761,油层
1868.475,255.7713,8.6363,4.3469,0.2685,87.1199,124.8038,259.8859,3.8416,4.1089,4.9886,5.0363,6.7054,0.2429,117.2831,4.017,2.4337,-2.6952,油层
1868.50625,253.8682,8.6527,4.279,0.2752,88.1047,128.9886,259.8841,3.7098,3.9638,4.6698,4.8002,6.7667,0.2441,115.3589,4.2638,2.4272,-2.7287,油层
1868.5375,252.8524,8.674,4.1339,0.2745,88.6519,132.5927,259.6282,3.5775,3.8119,4.3817,4.6015,7.0383,0.2457,113.3341,4.2883,2.4269,-2.8096,油层
1868.56875,252.7234,8.6958,3.9055,0.2703,88.9109,135.0024,259.1181,3.4449,3.655,4.1797,4.4862,6.524,0.2594,110.3475,4.216,2.4401,-2.9241,油层
1868.6,252.9738,8.7095,3.6284,0.2486,89.8421,135.6418,258.9893,3.3277,3.514,4.012,4.3234,5.7489,0.2744,109.2841,4.0901,2.4551,-3.043,油层
1868.63125,253.3508,8.7127,3.4064,0.1985,91.0505,133.9607,258.8599,3.2434,3.4108,3.7822,4.0798,5.2707,0.2828,107.1578,3.771,2.4472,-3.1095,油层
1868.6625,253.8534,8.7062,3.337,0.1555,91.4656,129.4359,258.8572,3.2017,3.3571,3.5409,3.8805,4.949,0.2702,105.031,3.5228,2.4142,-3.1095,油层
1868.69375,254.23,8.6833,3.3419,0.1805,91.2965,123.815,258.8528,3.2086,3.3614,3.4303,3.7402,4.8526,0.2541,103.8155,3.6617,2.4073,-3.0951,油层
1868.725,255.1102,8.6663,3.4017,0.2135,90.9563,119.3397,258.9772,3.2697,3.4292,3.4297,3.7123,4.9046,0.259,102.1431,3.8778,2.4218,-2.9949,油层
1868.75625,255.1102,8.6527,3.5838,0.194,90.1467,116.2177,259.1024,3.3893,3.5639,3.506,3.751,4.8535,0.2523,101.0788,3.686,2.4329,-2.8569,油层
1868.7875,255.3615,8.6434,3.7586,0.1495,88.7914,113.6707,259.3525,3.5683,3.7589,3.6411,3.9185,4.8303,0.2298,100.0145,3.3669,2.4467,-2.7095,油层
1868.81875,255.9903,8.6412,4.0252,0.142,86.8734,110.6929,259.7297,3.8071,4.0134,3.8273,4.1368,5.0811,0.2189,98.9502,3.3172,2.4833,-2.6239,油层
1868.85,256.7453,8.6308,4.5832,0.1571,84.4146,106.4986,259.9794,4.11,4.3291,4.1461,4.4995,5.6085,0.1973,98.5439,3.3483,2.52,-2.6667,油层
1868.88125,256.7453,8.6161,5.3473,0.1845,82.25,101.6353,260.1047,4.4692,4.7062,4.7371,5.1306,6.0169,0.179,96.9718,3.4758,2.5599,-2.6715,油层
1868.9125,257.247,8.5997,6.2491,0.1784,80.8663,97.3859,260.4814,4.8456,5.1015,5.4415,5.9402,6.5818,0.1828,96.6676,3.5581,2.5743,-2.7239,油层
1868.94375,257.4984,8.5844,6.9661,0.1352,79.8944,94.6783,260.7311,5.1477,5.4222,5.9451,6.5979,8.0286,0.1819,96.0582,3.3998,2.5613,-2.8095,油层
1868.975,257.874,8.5741,6.9607,0.0989,79.1891,94.8487,260.7293,5.2939,5.5658,6.2279,6.9114,10.5275,0.187,95.1451,3.2118,2.5435,-2.819,油层
1869.00625,257.874,8.5692,6.4751,0.0856,79.1809,97.2848,260.8519,5.2854,5.5413,6.3218,6.9548,10.9427,0.1972,93.7752,3.1401,2.5365,-2.7809,油层
1869.0375,258.123,8.5642,5.9384,0.056,80.1562,100.2083,260.9763,5.2093,5.4408,6.2163,6.6941,9.3887,0.1996,93.4709,3.1758,2.5111,-2.6903,油层
1869.06875,258.2482,8.5637,5.5054,0.0317,81.2336,103.6272,261.1006,5.1605,5.3739,5.8651,6.1848,8.5328,0.2063,92.9121,3.2278,2.4865,-2.6237,油层
1869.1,258.4971,8.5615,5.3874,0.0419,81.5684,107.0497,260.9709,5.1988,5.4003,5.4725,5.832,7.9068,0.2067,92.1502,3.2177,2.5024,-2.581,油层
1869.13125,258.4952,8.5593,5.4615,0.0821,81.3516,109.4786,260.8412,5.3505,5.548,5.3368,5.7483,7.6209,0.2028,91.7439,3.0836,2.5595,-2.6096,油层
1869.1625,258.618,8.5539,5.8346,0.0998,80.6801,110.213,260.7127,5.6165,5.8241,5.5161,5.8626,7.793,0.201,91.1842,2.9867,2.5887,-2.6526,油层
1869.19375,258.7418,8.5446,6.3258,0.0642,79.7531,107.9522,260.3302,5.979,6.2068,5.9423,6.168,8.1041,0.1943,90.9287,2.8717,2.5518,-2.7956,油层
1869.225,258.7399,8.5348,6.8175,0.0281,78.9516,102.5894,259.6939,6.4096,6.6582,6.4003,6.6097,8.4704,0.1865,90.8248,2.7836,2.5139,-2.9765,油层
1869.25625,258.9894,8.526,7.1991,0.0352,78.3321,96.151,258.9315,6.8781,7.1243,6.7608,6.9765,9.2492,0.184,90.7719,2.7224,2.5188,-3.2286,油层
1869.2875,258.987,8.5206,7.5579,0.0419,77.7219,90.0964,258.0424,7.3921,7.6102,7.2022,7.2925,10.4849,0.1858,90.8197,2.651,2.5161,-3.5338,油层
1869.31875,259.1089,8.5189,8.1602,0.0472,76.9757,84.6381,257.153,8.0194,8.1863,7.915,7.8787,11.512,0.1848,91.1202,2.6242,2.52,-3.934,油层
1869.35,259.3578,8.5195,9.1736,0.0411,76.2172,80.1191,255.8827,8.8464,8.9652,8.8599,8.7822,11.5353,0.1789,91.269,2.5945,2.5105,-4.5161,油层
1869.38125,259.3578,8.5195,11.1858,0.0203,75.4605,76.6163,255.6285,9.921,10.0105,9.8359,9.7899,11.4249,0.1703,91.5686,2.551,2.4779,-5.2726,油层
1869.4125,259.4821,8.5157,13.8235,0.0085,74.6289,73.4261,254.9927,11.1484,11.2559,10.9289,11.0072,12.7421,0.1601,91.8686,2.5269,2.4544,-6.2571,油层
1869.44375,259.7315,8.4993,16.2178,0.0224,73.9547,70.5913,255.4965,12.2997,12.4683,12.4352,12.7814,15.8651,0.1572,91.9679,2.5012,2.4577,-7.3729,油层
1869.475,259.8544,8.4731,17.7486,0.0397,73.8021,68.64,256.7592,13.1174,13.3573,14.1217,14.5964,21.8477,0.1589,92.1158,2.5637,2.4636,-8.5966,油层
1869.50625,259.9786,8.4364,18.3312,0.0524,74.2469,67.1933,257.6433,13.4922,13.7689,15.6087,15.8331,26.4067,0.1622,92.2141,2.7217,2.467,-9.7644,油层
1869.5375,259.9767,8.4032,17.5947,0.0447,75.087,65.6715,258.2738,13.5048,13.766,16.4158,16.5914,26.9873,0.1684,92.2122,2.6791,2.4401,-10.7772,油层
1869.56875,260.3523,8.3846,16.7883,0.0305,76.1388,63.7893,259.2832,13.2934,13.5108,16.0312,16.3881,25.1222,0.167,92.1589,2.4838,2.4013,-11.6333,油层
1869.6,260.4761,8.3803,16.0808,0.0308,77.1844,61.5893,259.6613,12.9573,13.1255,15.0947,15.1198,22.0159,0.1651,92.0532,2.4403,2.3926,-12.3675,油层
1869.63125,260.6013,8.3846,15.1093,0.0435,77.9615,59.3831,260.1646,12.5688,12.7184,14.6397,14.3725,22.9398,0.1668,92.0012,2.4695,2.4075,-13.0006,油层
1869.6625,260.7246,8.3895,14.1449,0.0599,78.4437,58.1273,260.2881,12.2075,12.345,13.9895,14.0765,25.7828,0.1687,91.8973,2.4763,2.4237,-13.4579,油层
1869.69375,260.8479,8.3923,13.3677,0.0628,78.7528,58.3563,260.2841,11.9805,12.0982,12.8077,12.932,21.2054,0.1712,91.8426,2.4047,2.4184,-13.7912,油层
1869.725,260.9712,8.3906,12.9064,0.0541,78.6304,58.4128,260.2823,12.0119,12.1028,12.007,11.8058,17.5613,0.1741,91.8408,2.3615,2.4069,-14.3238,油层
1869.75625,260.9693,8.3852,13.4899,0.0506,77.9344,56.3712,260.1539,12.43,12.5268,12.2862,11.8272,18.9218,0.168,91.787,2.3294,2.4081,-14.8674,油层
1869.7875,261.0926,8.3732,15.2801,0.0489,77.1902,52.7571,259.7713,13.2983,13.4801,13.7184,13.2409,15.9603,0.1581,91.8347,2.3953,2.4237,-15.4342,油层
1869.81875,261.2159,8.3552,18.6421,0.0356,76.8562,49.2957,258.374,14.513,14.8881,15.4331,14.8727,15.0432,0.161,91.8829,2.5016,2.427,-16.1352,油层
1869.85,261.2131,8.3388,22.4987,0.0322,76.9461,47.4568,257.9928,15.7202,16.4065,16.9514,16.8005,20.8878,0.1633,92.132,2.5918,2.4294,-16.9102,油层
1869.88125,261.3373,8.3268,25.2797,0.0452,77.2773,48.0523,256.343,16.4712,17.5097,18.8458,19.4567,34.0775,0.16,92.3323,2.5454,2.4391,-17.4619,油层
1869.9125,260.828,8.3213,25.4462,0.0512,77.8344,49.9682,255.3282,16.6088,17.9818,20.7062,21.4093,39.0867,0.1543,92.6829,2.4545,2.4397,-17.7905,油层
1869.94375,260.3186,8.3202,24.3097,0.0478,78.5819,51.5323,254.1859,16.4011,18.0643,21.9019,22.4381,32.1263,0.1511,93.1846,2.3391,2.4167,-17.8284,油层
1869.975,259.9359,8.3202,23.5954,0.0447,79.075,52.2944,257.6017,16.192,18.0916,21.9102,22.1205,28.7889,0.156,93.5876,2.2593,2.3872,-17.6419,油层
1870.00625,260.7064,8.3164,24.2428,0.0469,79.0996,51.8921,253.7266,16.1413,18.2098,21.2745,21.7245,26.7062,0.1575,93.8287,2.2237,2.3738,-17.2374,油层
1870.0375,259.9451,8.312,25.159,0.0559,78.9167,50.1831,256.8795,16.2001,18.2969,21.2446,21.9538,27.8144,0.1574,94.9352,2.2758,2.3819,-16.6714,油层
1870.06875,259.1854,8.3066,26.6829,0.0556,78.5453,48.1528,258.6452,16.1063,18.0354,22.3115,23.0716,29.6981,0.1576,95.2362,2.2892,2.3841,-15.8798,油层
1870.1,258.5519,8.3044,28.3469,0.0503,77.937,47.6506,260.2844,15.3636,16.9112,25.0054,25.6756,31.1798,0.1591,95.688,2.2297,2.3798,-14.9222,油层
1870.13125,257.7929,8.3077,25.4751,0.0457,77.5437,50.5508,261.6714,13.5306,14.6017,27.2331,28.9058,32.7148,0.1635,96.1403,2.1978,2.3795,-13.5859,油层
1870.1625,256.6538,8.3209,18.1112,0.0463,78.004,58.3303,262.8059,10.8591,11.5283,22.1344,26.1624,33.6323,0.1644,96.4409,2.2627,2.3937,-11.6974,油层
1870.19375,255.6422,8.3655,11.5504,0.0543,79.6559,71.8405,263.688,8.2761,8.6808,14.4574,17.5203,35.0782,0.1685,96.6909,2.4406,2.4204,-9.5762,油层
1870.225,254.8835,8.4328,7.1109,0.113,81.9422,89.7897,263.8123,6.3516,6.6146,9.6324,11.3078,31.2189,0.1798,97.0916,2.8203,2.4547,-7.4024,油层
1870.25625,253.7454,8.5048,4.9264,0.2279,83.9128,108.2828,263.0535,5.1271,5.3211,7.0337,7.939,16.0598,0.1894,97.3421,3.5324,2.4952,-5.4552,油层
1870.2875,251.8488,8.56,4.1372,0.3127,85.45,122.6132,261.7894,4.4308,4.5977,5.7109,6.1204,8.8045,0.1957,97.6431,4.2607,2.5376,-3.8833,油层
1870.31875,250.0789,8.5823,3.991,0.3057,86.922,129.6848,260.0204,4.0797,4.2366,4.95,5.3336,7.0216,0.205,98.0949,4.36,2.5494,-2.8851,油层
1870.35,249.5732,8.5817,4.2139,0.2839,88.2726,130.4801,257.3672,3.9308,4.0862,4.4012,4.8634,6.0104,0.223,98.3454,4.1791,2.5479,-2.3714,油层
1870.38125,247.298,8.5773,4.316,0.2999,88.8766,128.1237,255.7246,3.8791,4.0332,4.0732,4.5197,6.4143,0.2534,98.7972,4.3051,2.5358,-2.1523,油层
1870.4125,245.7818,8.5763,4.2993,0.3145,88.3424,124.3888,253.8294,3.8751,4.0268,3.9297,4.3529,7.4206,0.2787,99.1989,4.5274,2.522,-2.057,油层
1870.44375,243.5071,8.5773,4.295,0.2686,87.2297,119.7158,250.0393,3.9321,4.0809,3.9285,4.4139,7.2577,0.2682,99.7509,4.2126,2.5063,-1.9715,油层
1870.475,241.7381,8.5801,4.4445,0.1805,86.1784,114.2617,248.3971,4.0991,4.2486,4.1429,4.65,6.315,0.256,100.0018,3.6167,2.5175,-2.0098,油层
1870.50625,239.3372,8.5839,5.0798,0.0869,85.0452,108.2513,246.123,4.4116,4.5698,4.5822,5.0804,5.9252,0.2545,100.3029,3.159,2.5143,-2.2524,油层
1870.5375,237.6944,8.5828,6.2177,0.0479,83.6297,103.0055,244.1018,4.8547,5.0335,5.1237,5.6579,6.3069,0.2435,100.8563,3.0377,2.5099,-2.4907,油层
1870.56875,236.4297,8.5779,7.2128,0.0586,82.2297,99.4569,240.6916,5.3467,5.5557,5.6007,6.6005,7.9497,0.233,101.3086,2.9786,2.5078,-2.6144,油层
1870.6,235.7965,8.5713,7.6444,0.143,81.0125,96.4255,238.0388,5.7936,6.0281,6.028,7.264,10.4945,0.221,101.7609,3.1962,2.5805,-2.6905,油层
1870.63125,235.7945,8.5626,7.6847,0.1859,80.1317,93.5373,234.7542,6.208,6.4524,6.9468,7.878,11.5028,0.2077,102.3144,3.3446,2.6123,-2.7094,油层
1870.6625,237.9387,8.5561,8.0837,0.1384,79.6969,91.5786,232.8589,6.7001,6.9473,8.3222,8.9579,10.3111,0.1967,102.7161,3.049,2.5402,-2.6571,油层
1870.69375,240.84,8.5544,9.1344,0.1023,79.6734,88.8699,230.5848,7.3437,7.5916,9.228,10.158,9.0458,0.1883,103.876,2.7848,2.487,-2.576,油层
1870.725,244.3728,8.5561,11.2038,0.1214,79.814,83.9483,227.6795,7.9884,8.2366,9.328,10.4247,11.097,0.1893,104.9863,2.8799,2.5042,-2.4475,油层
1870.75625,247.2748,8.5615,13.1027,0.1521,79.6969,78.7539,225.9107,8.2479,8.4993,9.8028,10.8463,23.3679,0.1948,106.5514,3.1697,2.5319,-2.3666,油层
1870.7875,252.5744,8.567,11.3404,0.1789,79.7192,76.2739,221.2374,7.8687,8.1435,10.3894,11.785,35.4418,0.1867,108.5721,3.346,2.5492,-2.3331,油层
1870.81875,256.6126,8.5697,9.3892,0.1959,80.5563,79.2668,218.5846,7.0562,7.359,9.6414,10.9525,20.4498,0.1745,111.3511,3.4244,2.5533,-2.1429,油层
1870.85,260.7767,8.5697,7.068,0.2244,81.8594,88.3036,216.942,6.1835,6.4969,7.5057,8.4183,15.5821,0.1775,114.1301,3.6249,2.5666,-1.8473,油层
1870.88125,265.4455,8.5681,5.8127,0.2424,82.8288,100.0036,215.1728,5.4883,5.7853,5.7905,6.2055,13.0108,0.193,117.82,3.7858,2.556,-1.619,油层
1870.9125,269.61,8.5686,5.2927,0.2463,83.3969,110.1258,218.201,5.0661,5.336,5.0428,5.472,7.3872,0.2049,123.179,3.7725,2.5284,-1.5904,油层
1870.94375,275.4147,8.5724,5.1888,0.2313,83.2739,115.9173,226.279,4.9436,5.1899,4.7357,5.1532,6.5269,0.2089,127.4759,3.6412,2.5034,-1.5334,油层
1870.975,279.2005,8.5801,5.6433,0.2206,81.5404,116.4559,235.7454,5.1328,5.3729,4.806,5.0347,6.428,0.2037,133.0878,3.5201,2.5236,-1.6286,油层
1895.81875,217.4693,8.6418,3.8116,0.2847,93.8306,118.7338,226.2785,2.7016,2.8441,3.2843,3.7525,6.896,0.2166,134.046,4.6827,2.5485,3.0096,油水同层
1895.85,217.2155,8.6592,4.2199,0.2697,92.0547,118.8181,224.507,2.8758,3.0201,3.8068,4.3188,6.3809,0.2186,132.5775,4.7428,2.5422,3.0572,油水同层
1895.88125,216.8346,8.6783,4.5788,0.2364,90.3623,116.0273,223.2411,3.0901,3.2324,4.1597,4.6686,7.9422,0.2148,131.1095,4.4567,2.5704,3.119,油水同层
1895.9125,216.4531,8.6975,5.4524,0.2103,88.3654,111.8737,222.3549,3.312,3.4509,4.3943,4.9706,9.7905,0.2059,128.6798,4.2408,2.608,3.0667,油水同层
1895.94375,216.5775,8.716,5.9026,0.208,86.8547,110.1023,221.5948,3.4727,3.6121,4.6928,5.4504,8.4069,0.1996,127.0593,4.0233,2.6444,3.0333,油水同层
1895.975,216.5758,8.7407,5.9733,0.1998,86.6305,111.2006,221.2133,3.5115,3.6545,4.7536,5.3392,7.3886,0.2016,125.7424,3.8173,2.6508,3.0382,油水同层
1896.00625,217.0788,8.7762,5.8042,0.189,87.2672,112.9292,221.0858,3.4247,3.5727,4.6781,5.1257,7.2529,0.2015,124.5771,3.7268,2.6432,3.0809,油水同层
1896.0375,217.4563,8.8241,5.1266,0.1875,88.318,113.7268,221.5897,3.2557,3.4061,4.3092,4.8261,6.2554,0.2067,123.8672,3.7819,2.6281,3.1048,油水同层
1896.06875,217.9599,8.8744,4.6365,0.2058,89.9262,113.6844,223.989,3.0569,3.2069,3.871,4.5044,5.9255,0.2204,122.9031,3.8285,2.6224,3.1,油水同层
1896.1,218.9684,8.9175,4.285,0.2395,92.2172,113.7387,225.3782,2.865,3.0111,3.5574,4.1354,6.5194,0.2231,122.3447,4.0238,2.6235,3.1334,油水同层
1896.13125,219.8512,8.9377,3.8154,0.2526,94.0554,114.344,228.2831,2.7066,2.8474,3.2602,3.744,5.9801,0.2245,121.4316,4.1368,2.5994,3.1952,油水同层
1896.1625,221.1135,8.9262,3.5995,0.2667,94.6438,114.9457,230.1776,2.6016,2.7356,3.1017,3.4309,4.9005,0.23,120.4675,4.2834,2.5918,3.1952,油水同层
1896.19375,223.2593,8.8951,3.5199,0.2653,94.9949,115.2779,231.8191,2.5575,2.6847,3.1249,3.4633,4.738,0.2393,119.6551,4.3034,2.5987,3.1714,油水同层
1896.225,224.9008,8.8591,3.6002,0.246,95.4877,115.262,233.2078,2.564,2.6863,3.216,3.6431,4.5494,0.2527,119.3504,4.1663,2.6145,3.262,油水同层
1896.25625,227.1736,8.829,3.9229,0.2309,95.675,114.5057,234.4701,2.5911,2.7117,3.3528,3.9313,5.0275,0.2543,118.7915,4.1144,2.6309,3.319,油水同层
1896.2875,227.9307,8.817,4.0787,0.2307,95.7412,112.4569,233.8356,2.6005,2.72,3.421,3.9579,5.5659,0.2492,120.6053,4.1499,2.635,3.2809,油水同层
1896.31875,229.4458,8.811,4.085,0.23,96.2609,108.951,233.0761,2.5662,2.6813,3.3815,3.7988,5.5549,0.249,120.15,4.1458,2.6341,3.2525,油水同层
1896.35,231.5923,8.8088,3.818,0.2264,97.8038,106.3978,231.6834,2.4937,2.6009,3.2377,3.7103,5.2981,0.2504,118.6806,4.1851,2.6318,3.3143,油水同层
1896.38125,232.9807,8.8066,3.3857,0.2071,100.0162,108.2375,231.4295,2.4117,2.5105,3.0026,3.5364,4.6888,0.2602,118.0212,4.0768,2.5936,3.3191,油水同层
1896.4125,234.7477,8.8072,3.2007,0.2161,101.7422,113.819,232.0593,2.3537,2.4446,2.9268,3.3306,4.3621,0.2756,117.2097,4.075,2.5824,3.362,油水同层
1896.44375,236.2632,8.8034,3.1379,0.2277,102.5423,119.1272,232.816,2.3339,2.4187,2.9969,3.2598,4.1734,0.2753,116.5493,4.2503,2.5879,3.4622,油水同层
1896.475,237.9041,8.7843,3.2478,0.211,102.6547,120.8045,233.8258,2.3471,2.4267,3.008,3.4508,4.0707,0.2674,115.9895,4.2081,2.5743,3.5905,油水同层
1896.50625,238.9136,8.7657,3.6553,0.2196,102.3121,118.3857,234.7092,2.3686,2.4436,3.0158,3.607,5.3163,0.2639,115.7854,4.1544,2.576,3.6095,油水同层
1896.5375,240.1757,8.7575,3.8622,0.2524,101.4875,115.3399,237.3605,2.3706,2.4428,3.0701,3.638,5.699,0.2583,115.5803,4.1685,2.5784,3.5951,油水同层
1896.56875,240.9321,8.7591,3.8765,0.2672,100.2031,115.3669,237.9919,2.3426,2.415,3.1652,3.7121,4.6995,0.2576,115.4758,4.1393,2.5642,3.5428,油水同层
1896.6,241.6885,8.7744,3.7305,0.2631,99.5932,118.379,240.6435,2.2941,2.3691,3.1652,3.7184,4.5145,0.2584,115.5734,4.1137,2.5466,3.4665,油水同层
1896.63125,242.3186,8.7886,3.4338,0.2555,100.4047,122.7318,241.2747,2.2384,2.3173,2.9703,3.564,4.527,0.2598,115.621,4.1688,2.5341,3.4048,油水同层
1896.6625,242.8215,8.7924,3.2385,0.2649,101.7625,126.5364,242.537,2.1819,2.2652,2.7453,3.3785,4.4653,0.2695,115.7696,4.3222,2.5413,3.4238,油水同层
1896.69375,243.4503,8.7864,3.0509,0.2797,103.0231,127.5975,244.3041,2.1316,2.2196,2.6113,3.1296,4.2329,0.2798,115.9178,4.4368,2.5411,3.5145,油水同层
1896.725,243.7018,8.7788,2.9364,0.2732,103.9859,125.3681,244.8089,2.0999,2.1928,2.5709,3.0526,3.8651,0.2801,116.167,4.342,2.5139,3.6572,油水同层
1896.75625,243.8272,8.7684,2.8741,0.2608,104.1256,121.0875,245.9448,2.1024,2.1999,2.5707,3.0484,3.6473,0.2727,116.3166,4.1884,2.5123,3.7622,油水同层
1896.7875,244.2035,8.7679,2.9041,0.2629,103.3187,117.2081,246.828,2.1488,2.2494,2.5789,3.0782,3.835,0.2713,116.5163,4.2231,2.5431,3.8762,油水同层
1896.81875,244.2025,8.781,3.1084,0.2847,101.9858,115.9257,247.837,2.2397,2.3408,2.632,3.2089,4.2305,0.2675,117.0162,4.3247,2.5804,3.9143,油水同层
1896.85,244.4527,8.7952,3.4541,0.2769,100.6402,116.9054,248.3415,2.3668,2.4649,2.8389,3.4381,4.7831,0.2514,117.2163,4.2444,2.5828,3.9333,油水同层
1896.88125,244.0709,8.8039,3.7233,0.2396,98.9625,117.1821,248.3395,2.5214,2.6117,3.1597,3.7356,4.9837,0.2395,117.4165,4.1338,2.5842,3.919,油水同层
1896.9125,243.6907,8.8132,4.2377,0.1717,96.6994,115.044,247.5797,2.6872,2.7699,3.5954,4.1131,5.036,0.2389,118.0685,4.0229,2.5708,3.8952,油水同层
1896.94375,242.9296,8.823,4.8175,0.1546,94.925,112.2203,245.4287,2.8397,2.9163,4.0526,4.6493,5.8138,0.2393,118.2687,4.2823,2.5922,3.8905,油水同层
